word,transcription,vowel_focus1,vowel_focus2,init_vowel,term_vowel,cognate,list_number
taza,ta-sa,a,,0,1,0,20
sabe,sa-βe,e,a,0,1,0,13
casi,ka-si,i,a,0,1,0,6
tanto,tan-to,o,a,0,1,0,24
su,su,u,,0,1,0,17
ayuda,a-ju-ða,a,u,1,1,0,10
educación,e-ðu-ka-si̯on,e,u,1,0,1,3
importante,im-poɾ-tan-te,i,e,1,1,1,21
oportunidad,o-poɾ-tu-ni-ðað,o,i,1,0,1,14
usar,u-saɾ,u,,1,0,1,7
hice,i-se,h&,e,1,1,0,0
hermana,eɾ-ma-na,h&,a,1,1,0,18
hombe,om-bɾe,h&,e,1,1,0,11
hasta,as-ta,h&,a,1,1,0,4
qué,ke,que,,0,1,0,22
toque,to-ke,que,o,0,1,0,15
funcionar,fun-si̯o-naɾ,u,o,0,0,1,8
combinación,kom-bi-na-si̯on,a,i,0,0,1,1
está,es-ta,a,e,1,1,0,12
ojo,o-ho,o,,1,1,0,5
el,el,e,,1,0,0,23
él,el,e,,1,0,0,16
cantar,kan-taɾ,a,,0,0,0,9
inicio,i-ni-si̯o,i,o,1,1,0,2
esta,es-ta,a,e,1,1,0,19
