word_number,prescriptive_pronunciation,student_pronunciation,syllable_number,prescriptive_syllable,student_syllable,correct_allophone,student_allophone
0,i-se,i-sei̯,0,i,i,i,i
0,i-se,i-sei̯,1,se,sei̯,e,ei̯
1,kom-bi-na-si̯on,kom-bi-na-si̯on,0,kom,kom,o,o
1,kom-bi-na-si̯on,kom-bi-na-si̯on,1,bi,bi,i,i
1,kom-bi-na-si̯on,kom-bi-na-si̯on,2,na,na,a,a
1,kom-bi-na-si̯on,kom-bi-na-si̯on,3,si̯on,si̯on,i̯o,i̯o
2,i-ni-si̯o,i-ni-si̯o,0,i,i,i,i
2,i-ni-si̯o,i-ni-si̯o,1,ni,ni,i,i
2,i-ni-si̯o,i-ni-si̯o,2,si̯o,si̯o,i̯o,i̯o
3,e-ðu-ka-si̯on,ɛ-du-ka-si̯on,0,e,ɛ,e,ɛ
3,e-ðu-ka-si̯on,ɛ-du-ka-si̯on,1,ðu,du,u,u
3,e-ðu-ka-si̯on,ɛ-du-ka-si̯on,2,ka,ka,a,a
3,e-ðu-ka-si̯on,ɛ-du-ka-si̯on,3,si̯on,si̯on,i̯o,i̯o
4,as-ta,as-ta,0,as,as,a,a
4,as-ta,as-ta,1,ta,ta,a,a
5,o-ho,o-ho,0,o,o,o,o
5,o-ho,o-ho,1,ho,ho,o,o
6,ka-si,ka-si,0,ka,ka,a,a
6,ka-si,ka-si,1,si,si,i,i
7,u-saɾ,u-saɾ,0,u,u,u,u
7,u-saɾ,u-saɾ,1,saɾ,saɾ,a,a
8,fun-si̯o-naɾ,funk-si̯o-naɾ,0,fun,funk,u,u
8,fun-si̯o-naɾ,funk-si̯o-naɾ,1,si̯o,si̯o,i̯o,i̯o
8,fun-si̯o-naɾ,funk-si̯o-naɾ,2,naɾ,naɾ,a,a
9,kan-taɾ,kan-taɾ,0,kan,kan,a,a
9,kan-taɾ,kan-taɾ,1,taɾ,taɾ,a,a
10,a-ju-ða,a-ju-dʌ,0,a,a,a,a
10,a-ju-ða,a-ju-dʌ,1,ju,ju,u,u
10,a-ju-ða,a-ju-dʌ,2,ða,dʌ,a,ʌ
11,om-bɾe,om-bɾei̯,0,om,om,o,o
11,om-bɾe,om-bɾei̯,1,bɾe,bɾei̯,e,ei̯
12,es-ta,ɛs-ta,0,es,ɛs,e,ɛ
12,es-ta,ɛs-ta,1,ta,ta,a,a
13,sa-βe,sa-βe,0,sa,sa,a,a
13,sa-βe,sa-βe,1,βe,βe,e,e
14,o-poɾ-tu-ni-ðað,o-poɻ-tu-ni-dad,0,o,o,o,o
14,o-poɾ-tu-ni-ðað,o-poɻ-tu-ni-dad,1,poɾ,poɻ,o,o
14,o-poɾ-tu-ni-ðað,o-poɻ-tu-ni-dad,2,tu,tu,u,u
14,o-poɾ-tu-ni-ðað,o-poɻ-tu-ni-dad,3,ni,ni,i,i
14,o-poɾ-tu-ni-ðað,o-poɻ-tu-ni-dad,4,ðað,dad,a,a
15,to-ke,to-ke,0,to,to,o,o
15,to-ke,to-ke,1,ke,ke,e,e
16,el,ɛl,0,el,ɛl,e,ɛ
17,su,su,0,su,su,u,u
18,eɾ-ma-na,eɾ-ma-na,0,eɾ,eɾ,e,e
18,eɾ-ma-na,eɾ-ma-na,1,ma,ma,a,a
18,eɾ-ma-na,eɾ-ma-na,2,na,na,a,a
19,es-ta,ɛs-ta,0,es,ɛs,e,ɛ
19,es-ta,ɛs-ta,1,ta,ta,a,a
20,ta-sa,ta-za,0,ta,ta,a,a
20,ta-sa,ta-za,1,sa,za,a,a
21,im-poɾ-tan-te,ɪm-poɻ-tan-tei̯,0,im,ɪm,i,ɪ
21,im-poɾ-tan-te,ɪm-poɻ-tan-tei̯,1,poɾ,poɻ,o,o
21,im-poɾ-tan-te,ɪm-poɻ-tan-tei̯,2,tan,tan,a,a
21,im-poɾ-tan-te,ɪm-poɻ-tan-tei̯,3,te,tei̯,e,ei̯
22,ke,ke,0,ke,ke,e,e
23,el,ɛl,0,el,ɛl,e,ɛ
24,tan-to,tan-to,0,tan,tan,a,a
24,tan-to,tan-to,1,to,to,o,o
